agent_id,agent_name,deployment_mode,status,idle_ram_mb,avg_ram_mb,peak_ram_mb,private_ram_mb,cpu_percent,peak_cpu_percent,vram_mb,peak_vram_mb,disk_mb,process_count,thread_count,startup_seconds,workload,model,memory_classification,measurement_timestamp
Agent #1,ResearchPaperAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,44.47,49.7,55.16,40.3,< 5%,< 12%,0.0,0.0,0.23,1,1,0.5009,Deterministic domain task (50 iters),freephdlabor-v1 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:18:26.605530+00:00
Agent #2,WebResearchAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,44.51,51.12,57.77,42.1,< 5%,< 12%,0.0,0.0,0.3,1,1,0.4921,Deterministic domain task (50 iters),tavily-search / anakin-v1 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:10.619687+00:00
Agent #3,DocumentProcessingAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,73.24,73.32,73.4,68.98,< 5%,< 12%,0.0,0.0,0.32,1,1,1.111,Deterministic domain task (50 iters),Deterministic Regex / Semantic Chunker (LOCAL_CPU),LIGHT,2026-08-30T20:23:12.325034+00:00
Agent #4,DeepResearchAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,48.83,48.91,48.99,36.27,< 5%,< 12%,0.0,0.0,0.22,1,1,0.7564,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:13.538326+00:00
Agent #5,EngineeringSynthesisAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,49.77,49.89,50.01,37.63,< 5%,< 12%,0.0,0.0,0.25,1,1,0.7293,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:14.727183+00:00
Agent #6,EngineeringArchitectureAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,50.24,50.39,50.54,38.05,< 5%,< 12%,0.0,0.0,0.34,1,1,0.7415,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:15.997145+00:00
Agent #7,ComponentPlanningAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,49.85,50.0,50.15,37.75,< 5%,< 12%,0.0,0.0,0.28,1,1,0.7995,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:17.280668+00:00
Agent #8,BOMOptimizationAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,49.51,49.6,49.69,37.18,< 5%,< 12%,0.0,0.0,0.32,1,1,0.7066,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:18.442186+00:00
Agent #9,EngineeringValidationAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,49.69,49.8,49.9,37.39,< 5%,< 12%,0.0,0.0,0.35,1,1,0.7307,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:19.656292+00:00
Agent #10,ProjectExecutionAgent,SHARED_RUNTIME / ASYNC_TASK,DEPLOYED,37.56,37.73,37.91,27.1,< 5%,< 12%,0.0,0.0,0.12,1,1,0.4539,Deterministic domain task (50 iters),us.anthropic.claude-3-5-sonnet-20241022-v2:0 (REMOTE_INFERENCE),LIGHT,2026-08-30T20:23:20.512455+00:00
